run_accession	experiment_accession	sample_accession	secondary_sample_accession	study_accession	secondary_study_accession	sample_alias	experiment_alias	experiment_title	sample_title	instrument_platform	instrument_model	library_name	library_layout	library_strategy	library_source	library_selection	read_count	base_count
SRR18134230	SRX14282290	SAMN26235193	SRS12100348	PRJNA810174	SRP361380	GSM5916707	GSM5916707	NextSeq 500 sequencing: GSM5916707: Infection1_D5_Inf_100 Plasmodium vivax Homo sapiens Mus musculus RNA-Seq	Infection1_D5_Inf_100	ILLUMINA	NextSeq 500		PAIRED	RNA-Seq	TRANSCRIPTOMIC	cDNA	23853287	1669730090
SRR18134232	SRX14282292	SAMN26235195	SRS12100350	PRJNA810174	SRP361380	GSM5916709	GSM5916709	NextSeq 500 sequencing: GSM5916709: Infection1_D8_Inf_100 Plasmodium vivax Homo sapiens Mus musculus RNA-Seq	Infection1_D8_Inf_100	ILLUMINA	NextSeq 500		PAIRED	RNA-Seq	TRANSCRIPTOMIC	cDNA	35869196	2510843720
SRR18134242	SRX14282306	SAMN26235205	SRS12100364	PRJNA810174	SRP361380	GSM5916719	GSM5916719	NextSeq 500 sequencing: GSM5916719: Infection1_D14p_Inf_100 Plasmodium vivax Homo sapiens Mus musculus RNA-Seq	Infection1_D14p_Inf_100	ILLUMINA	NextSeq 500		PAIRED	RNA-Seq	TRANSCRIPTOMIC	cDNA	26822607	1877582490
SRR18134255	SRX14282323	SAMN26235214	SRS12100381	PRJNA810174	SRP361380	GSM5916728	GSM5916728	Illumina NovaSeq 6000 sequencing: GSM5916728: Infection2_D5_Uninfected Homo sapiens Mus musculus RNA-Seq	Infection2_D5_Uninfected	ILLUMINA	Illumina NovaSeq 6000		PAIRED	RNA-Seq	TRANSCRIPTOMIC	cDNA	503544585	35248120950
SRR18134257	SRX14282325	SAMN26235172	SRS12100383	PRJNA810174	SRP361380	GSM5916730	GSM5916730	Illumina NovaSeq 6000 sequencing: GSM5916730: Infection2_D5_SEQ1 Plasmodium vivax Homo sapiens Mus musculus RNA-Seq	Infection2_D5_SEQ1	ILLUMINA	Illumina NovaSeq 6000		PAIRED	RNA-Seq	TRANSCRIPTOMIC	cDNA	428370466	29985932620
SRR18134264	SRX14282329	SAMN26235176	SRS12100387	PRJNA810174	SRP361380	GSM5916734	GSM5916734	Illumina NovaSeq 6000 sequencing: GSM5916734: Infection2_D8_SEQ1 Plasmodium vivax Homo sapiens Mus musculus RNA-Seq	Infection2_D8_SEQ1	ILLUMINA	Illumina NovaSeq 6000		PAIRED	RNA-Seq	TRANSCRIPTOMIC	cDNA	23638797	1654715790
SRR18134269	SRX14282309	SAMN26235180	SRS12100367	PRJNA810174	SRP361380	GSM5916738	GSM5916738	Illumina NovaSeq 6000 sequencing: GSM5916738: Infection2_D11_SEQ1 Plasmodium vivax Homo sapiens Mus musculus RNA-Seq	Infection2_D11_SEQ1	ILLUMINA	Illumina NovaSeq 6000		PAIRED	RNA-Seq	TRANSCRIPTOMIC	cDNA	737246357	51607244990
SRR18134270	SRX14282309	SAMN26235180	SRS12100367	PRJNA810174	SRP361380	GSM5916738	GSM5916738	Illumina NovaSeq 6000 sequencing: GSM5916738: Infection2_D11_SEQ1 Plasmodium vivax Homo sapiens Mus musculus RNA-Seq	Infection2_D11_SEQ1	ILLUMINA	Illumina NovaSeq 6000		PAIRED	RNA-Seq	TRANSCRIPTOMIC	cDNA	34583746	2420862220
SRR18134272	SRX14282310	SAMN26235181	SRS12100368	PRJNA810174	SRP361380	GSM5916739	GSM5916739	Illumina NovaSeq 6000 sequencing: GSM5916739: Infection2_D11_SEQ2 Plasmodium vivax Homo sapiens Mus musculus RNA-Seq	Infection2_D11_SEQ2	ILLUMINA	Illumina NovaSeq 6000		PAIRED	RNA-Seq	TRANSCRIPTOMIC	cDNA	33127214	2318904980
SRR18134278	SRX14282314	SAMN26235185	SRS12100372	PRJNA810174	SRP361380	GSM5916743	GSM5916743	Illumina NovaSeq 6000 sequencing: GSM5916743: Infection2_D8p_SEQ2 Plasmodium vivax Homo sapiens Mus musculus RNA-Seq	Infection2_D8p_SEQ2	ILLUMINA	Illumina NovaSeq 6000		PAIRED	RNA-Seq	TRANSCRIPTOMIC	cDNA	29252460	2047672200
SRR18134229	SRX14282289	SAMN26235192	SRS12100347	PRJNA810174	SRP361380	GSM5916706	GSM5916706	NextSeq 500 sequencing: GSM5916706: Infection1_D5_Inf_50 Plasmodium vivax Homo sapiens Mus musculus RNA-Seq	Infection1_D5_Inf_50	ILLUMINA	NextSeq 500		PAIRED	RNA-Seq	TRANSCRIPTOMIC	cDNA	24020172	1681412040
SRR18134239	SRX14282303	SAMN26235202	SRS12100361	PRJNA810174	SRP361380	GSM5916716	GSM5916716	NextSeq 500 sequencing: GSM5916716: Infection1_D11p_Inf_50 Plasmodium vivax Homo sapiens Mus musculus RNA-Seq	Infection1_D11p_Inf_50	ILLUMINA	NextSeq 500		PAIRED	RNA-Seq	TRANSCRIPTOMIC	cDNA	23792776	1665494320
SRR18134241	SRX14282305	SAMN26235204	SRS12100363	PRJNA810174	SRP361380	GSM5916718	GSM5916718	NextSeq 500 sequencing: GSM5916718: Infection1_D14p_Inf_50 Plasmodium vivax Homo sapiens Mus musculus RNA-Seq	Infection1_D14p_Inf_50	ILLUMINA	NextSeq 500		PAIRED	RNA-Seq	TRANSCRIPTOMIC	cDNA	22408887	1568622090
SRR18134246	SRX14282317	SAMN26235208	SRS12100375	PRJNA810174	SRP361380	GSM5916722	GSM5916722	Illumina NovaSeq 6000 sequencing: GSM5916722: Infection2_D1_SEQ1 Plasmodium vivax Homo sapiens Mus musculus RNA-Seq	Infection2_D1_SEQ1	ILLUMINA	Illumina NovaSeq 6000		PAIRED	RNA-Seq	TRANSCRIPTOMIC	cDNA	21024980	1471748600
SRR18134248	SRX14282318	SAMN26235209	SRS12100376	PRJNA810174	SRP361380	GSM5916723	GSM5916723	Illumina NovaSeq 6000 sequencing: GSM5916723: Infection2_D1_SEQ2 Plasmodium vivax Homo sapiens Mus musculus RNA-Seq	Infection2_D1_SEQ2	ILLUMINA	Illumina NovaSeq 6000		PAIRED	RNA-Seq	TRANSCRIPTOMIC	cDNA	19310698	1351748860
SRR18134249	SRX14282319	SAMN26235210	SRS12100377	PRJNA810174	SRP361380	GSM5916724	GSM5916724	Illumina NovaSeq 6000 sequencing: GSM5916724: Infection2_D4_Uninfected Homo sapiens Mus musculus RNA-Seq	Infection2_D4_Uninfected	ILLUMINA	Illumina NovaSeq 6000		PAIRED	RNA-Seq	TRANSCRIPTOMIC	cDNA	628233657	43976355990
SRR18134254	SRX14282322	SAMN26235213	SRS12100380	PRJNA810174	SRP361380	GSM5916727	GSM5916727	Illumina NovaSeq 6000 sequencing: GSM5916727: Infection2_D4_SEQ2 Plasmodium vivax Homo sapiens Mus musculus RNA-Seq	Infection2_D4_SEQ2	ILLUMINA	Illumina NovaSeq 6000		PAIRED	RNA-Seq	TRANSCRIPTOMIC	cDNA	25722150	1800550500
SRR18134261	SRX14282327	SAMN26235174	SRS12100385	PRJNA810174	SRP361380	GSM5916732	GSM5916732	Illumina NovaSeq 6000 sequencing: GSM5916732: Infection2_D8_Uninfected Homo sapiens Mus musculus RNA-Seq	Infection2_D8_Uninfected	ILLUMINA	Illumina NovaSeq 6000		PAIRED	RNA-Seq	TRANSCRIPTOMIC	cDNA	479341289	33553890230
SRR18134263	SRX14282329	SAMN26235176	SRS12100387	PRJNA810174	SRP361380	GSM5916734	GSM5916734	Illumina NovaSeq 6000 sequencing: GSM5916734: Infection2_D8_SEQ1 Plasmodium vivax Homo sapiens Mus musculus RNA-Seq	Infection2_D8_SEQ1	ILLUMINA	Illumina NovaSeq 6000		PAIRED	RNA-Seq	TRANSCRIPTOMIC	cDNA	551536885	38607581950
SRR18134266	SRX14282330	SAMN26235177	SRS12100388	PRJNA810174	SRP361380	GSM5916735	GSM5916735	Illumina NovaSeq 6000 sequencing: GSM5916735: Infection2_D8_SEQ2 Plasmodium vivax Homo sapiens Mus musculus RNA-Seq	Infection2_D8_SEQ2	ILLUMINA	Illumina NovaSeq 6000		PAIRED	RNA-Seq	TRANSCRIPTOMIC	cDNA	34934638	2445424660
SRR18134267	SRX14282307	SAMN26235178	SRS12100365	PRJNA810174	SRP361380	GSM5916736	GSM5916736	Illumina NovaSeq 6000 sequencing: GSM5916736: Infection2_D11_Uninfected Homo sapiens Mus musculus RNA-Seq	Infection2_D11_Uninfected	ILLUMINA	Illumina NovaSeq 6000		PAIRED	RNA-Seq	TRANSCRIPTOMIC	cDNA	511692306	35818461420
SRR18134268	SRX14282308	SAMN26235179	SRS12100366	PRJNA810174	SRP361380	GSM5916737	GSM5916737	Illumina NovaSeq 6000 sequencing: GSM5916737: Infection2_D11_Mock Homo sapiens Mus musculus RNA-Seq	Infection2_D11_Mock	ILLUMINA	Illumina NovaSeq 6000		PAIRED	RNA-Seq	TRANSCRIPTOMIC	cDNA	490876700	34361369000
SRR18134276	SRX14282313	SAMN26235184	SRS12100371	PRJNA810174	SRP361380	GSM5916742	GSM5916742	Illumina NovaSeq 6000 sequencing: GSM5916742: Infection2_D8p_SEQ1 Plasmodium vivax Homo sapiens Mus musculus RNA-Seq	Infection2_D8p_SEQ1	ILLUMINA	Illumina NovaSeq 6000		PAIRED	RNA-Seq	TRANSCRIPTOMIC	cDNA	31150951	2180566570
SRR18134282	SRX14282297	SAMN26235188	SRS12100355	PRJNA810174	SRP361380	GSM5916746	GSM5916746	Illumina NovaSeq 6000 sequencing: GSM5916746: Infection2_D11p_SEQ1 Plasmodium vivax Homo sapiens Mus musculus RNA-Seq	Infection2_D11p_SEQ1	ILLUMINA	Illumina NovaSeq 6000		PAIRED	RNA-Seq	TRANSCRIPTOMIC	cDNA	42646232	2985236240
SRR18134284	SRX14282298	SAMN26235189	SRS12100356	PRJNA810174	SRP361380	GSM5916747	GSM5916747	Illumina NovaSeq 6000 sequencing: GSM5916747: Infection2_D11p_SEQ2 Plasmodium vivax Homo sapiens Mus musculus RNA-Seq	Infection2_D11p_SEQ2	ILLUMINA	Illumina NovaSeq 6000		PAIRED	RNA-Seq	TRANSCRIPTOMIC	cDNA	38924867	2724740690
SRR18134227	SRX14282287	SAMN26235190	SRS12100345	PRJNA810174	SRP361380	GSM5916704	GSM5916704	NextSeq 500 sequencing: GSM5916704: Infection1_D1_Inf_50 Plasmodium vivax Homo sapiens Mus musculus RNA-Seq	Infection1_D1_Inf_50	ILLUMINA	NextSeq 500		PAIRED	RNA-Seq	TRANSCRIPTOMIC	cDNA	32937839	2305648730
SRR18134231	SRX14282291	SAMN26235194	SRS12100349	PRJNA810174	SRP361380	GSM5916708	GSM5916708	NextSeq 500 sequencing: GSM5916708: Infection1_D8_Inf_50 Plasmodium vivax Homo sapiens Mus musculus RNA-Seq	Infection1_D8_Inf_50	ILLUMINA	NextSeq 500		PAIRED	RNA-Seq	TRANSCRIPTOMIC	cDNA	28290124	1980308680
SRR18134235	SRX14282299	SAMN26235198	SRS12100357	PRJNA810174	SRP361380	GSM5916712	GSM5916712	NextSeq 500 sequencing: GSM5916712: Infection1_D14_Inf_50 Plasmodium vivax Homo sapiens Mus musculus RNA-Seq	Infection1_D14_Inf_50	ILLUMINA	NextSeq 500		PAIRED	RNA-Seq	TRANSCRIPTOMIC	cDNA	22520417	1576429190
SRR18134244	SRX14282316	SAMN26235207	SRS12100374	PRJNA810174	SRP361380	GSM5916721	GSM5916721	Illumina NovaSeq 6000 sequencing: GSM5916721: Infection2_D1_Mock Homo sapiens Mus musculus RNA-Seq	Infection2_D1_Mock	ILLUMINA	Illumina NovaSeq 6000		PAIRED	RNA-Seq	TRANSCRIPTOMIC	cDNA	440456995	30831989650
SRR18134245	SRX14282317	SAMN26235208	SRS12100375	PRJNA810174	SRP361380	GSM5916722	GSM5916722	Illumina NovaSeq 6000 sequencing: GSM5916722: Infection2_D1_SEQ1 Plasmodium vivax Homo sapiens Mus musculus RNA-Seq	Infection2_D1_SEQ1	ILLUMINA	Illumina NovaSeq 6000		PAIRED	RNA-Seq	TRANSCRIPTOMIC	cDNA	531135838	37179508660
SRR18134247	SRX14282318	SAMN26235209	SRS12100376	PRJNA810174	SRP361380	GSM5916723	GSM5916723	Illumina NovaSeq 6000 sequencing: GSM5916723: Infection2_D1_SEQ2 Plasmodium vivax Homo sapiens Mus musculus RNA-Seq	Infection2_D1_SEQ2	ILLUMINA	Illumina NovaSeq 6000		PAIRED	RNA-Seq	TRANSCRIPTOMIC	cDNA	580223418	40615639260
SRR18134250	SRX14282320	SAMN26235211	SRS12100378	PRJNA810174	SRP361380	GSM5916725	GSM5916725	Illumina NovaSeq 6000 sequencing: GSM5916725: Infection2_D4_Mock Homo sapiens Mus musculus RNA-Seq	Infection2_D4_Mock	ILLUMINA	Illumina NovaSeq 6000		PAIRED	RNA-Seq	TRANSCRIPTOMIC	cDNA	698772120	48914048400
SRR18134253	SRX14282322	SAMN26235213	SRS12100380	PRJNA810174	SRP361380	GSM5916727	GSM5916727	Illumina NovaSeq 6000 sequencing: GSM5916727: Infection2_D4_SEQ2 Plasmodium vivax Homo sapiens Mus musculus RNA-Seq	Infection2_D4_SEQ2	ILLUMINA	Illumina NovaSeq 6000		PAIRED	RNA-Seq	TRANSCRIPTOMIC	cDNA	555499233	38884946310
SRR18134256	SRX14282324	SAMN26235215	SRS12100382	PRJNA810174	SRP361380	GSM5916729	GSM5916729	Illumina NovaSeq 6000 sequencing: GSM5916729: Infection2_D5_Mock Homo sapiens Mus musculus RNA-Seq	Infection2_D5_Mock	ILLUMINA	Illumina NovaSeq 6000		PAIRED	RNA-Seq	TRANSCRIPTOMIC	cDNA	625600005	43792000350
SRR18134258	SRX14282325	SAMN26235172	SRS12100383	PRJNA810174	SRP361380	GSM5916730	GSM5916730	Illumina NovaSeq 6000 sequencing: GSM5916730: Infection2_D5_SEQ1 Plasmodium vivax Homo sapiens Mus musculus RNA-Seq	Infection2_D5_SEQ1	ILLUMINA	Illumina NovaSeq 6000		PAIRED	RNA-Seq	TRANSCRIPTOMIC	cDNA	27305558	1911389060
SRR18134271	SRX14282310	SAMN26235181	SRS12100368	PRJNA810174	SRP361380	GSM5916739	GSM5916739	Illumina NovaSeq 6000 sequencing: GSM5916739: Infection2_D11_SEQ2 Plasmodium vivax Homo sapiens Mus musculus RNA-Seq	Infection2_D11_SEQ2	ILLUMINA	Illumina NovaSeq 6000		PAIRED	RNA-Seq	TRANSCRIPTOMIC	cDNA	687146747	48100272290
SRR18134274	SRX14282312	SAMN26235183	SRS12100370	PRJNA810174	SRP361380	GSM5916741	GSM5916741	Illumina NovaSeq 6000 sequencing: GSM5916741: Infection2_D8p_Mock Homo sapiens Mus musculus RNA-Seq	Infection2_D8p_Mock	ILLUMINA	Illumina NovaSeq 6000		PAIRED	RNA-Seq	TRANSCRIPTOMIC	cDNA	511554687	35808828090
SRR18134280	SRX14282296	SAMN26235187	SRS12100354	PRJNA810174	SRP361380	GSM5916745	GSM5916745	Illumina NovaSeq 6000 sequencing: GSM5916745: Infection2_D11p_Mock Homo sapiens Mus musculus RNA-Seq	Infection2_D11p_Mock	ILLUMINA	Illumina NovaSeq 6000		PAIRED	RNA-Seq	TRANSCRIPTOMIC	cDNA	627225323	43905772610
SRR18134281	SRX14282297	SAMN26235188	SRS12100355	PRJNA810174	SRP361380	GSM5916746	GSM5916746	Illumina NovaSeq 6000 sequencing: GSM5916746: Infection2_D11p_SEQ1 Plasmodium vivax Homo sapiens Mus musculus RNA-Seq	Infection2_D11p_SEQ1	ILLUMINA	Illumina NovaSeq 6000		PAIRED	RNA-Seq	TRANSCRIPTOMIC	cDNA	696161865	48731330550
SRR18134283	SRX14282298	SAMN26235189	SRS12100356	PRJNA810174	SRP361380	GSM5916747	GSM5916747	Illumina NovaSeq 6000 sequencing: GSM5916747: Infection2_D11p_SEQ2 Plasmodium vivax Homo sapiens Mus musculus RNA-Seq	Infection2_D11p_SEQ2	ILLUMINA	Illumina NovaSeq 6000		PAIRED	RNA-Seq	TRANSCRIPTOMIC	cDNA	513370738	35935951660
